Файл,Тип,Описание,Функциональность,Размер_KB
app.py,Основной файл,Точка входа в Streamlit-приложение с навигацией между страницами,st.navigation для многостраничного приложения,0.4
analysis_and_model.py,Страница анализа,"Основная страница с загрузкой данных, обучением моделей и предсказаниями","Анализ данных, ML-модели, визуализация, интерфейс предсказаний",17.62
presentation.py,Страница презентации,Интерактивная презентация проекта с описанием методологии,"Слайд-презентация, markdown документация",22.74
requirements.txt,Конфигурация,Список зависимостей Python для установки библиотек,pip install -r requirements.txt,0.13
README.md,Документация,"Подробное описание проекта, инструкции по установке и использованию","Документация, описание архитектуры, примеры использования",9.73
demo_test.py,Тестирование,Демонстрационный скрипт для проверки работоспособности без Streamlit,"Тестирование загрузки данных, предобработки, обучения моделей",7.77
RUN_INSTRUCTIONS.md,Инструкции,Краткая инструкция по запуску и использованию приложения,"Быстрый старт, решение проблем, настройки",2.88
data/predictive_maintenance.csv,Данные,Пример синтетических данных для демонстрации (1000 записей),Тестовые данные для работы приложения без UCI Repository,99.07
streamlit_architecture.png,Диаграмма,Визуальная схема: streamlit architecture,Иллюстрация архитектуры и процессов проекта,144.32
ml_pipeline_diagram.png,Диаграмма,Визуальная схема: ml pipeline diagram,Иллюстрация архитектуры и процессов проекта,221.73
ml_metrics_improved_chart.png,Диаграмма,Визуальная схема: ml metrics improved chart,Иллюстрация архитектуры и процессов проекта,189.16
